,learning_rate,n_estimators,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,scale_pos_weight,base_score,accuracy,f1_score,recall,roc_auc,cv_recall
7,0.15,500,8,4,0.75,0.8,0.5,5,2,1,0.5,0.8583557672395942,0.860815817599076,0.8583557672395942,0.9354901662211818,0.8554232461817242
5,0.1,500,10,4,0.75,0.8,0.5,5,2,1,0.5,0.85773452060468,0.8603247170165604,0.85773452060468,0.9362140778312842,0.8568728967123997
8,0.15,500,10,4,0.75,0.8,0.5,5,2,1,0.5,0.857630979498861,0.8599023989943183,0.857630979498861,0.9357470559477394,0.8560186383639659
4,0.1,500,8,4,0.75,0.8,0.5,5,2,1,0.5,0.856492027334852,0.8589723024010872,0.856492027334852,0.935628276425266,0.8567693502459228
3,0.1,500,6,4,0.75,0.8,0.5,5,2,1,0.5,0.8559743218057568,0.8585544906675647,0.8559743218057568,0.9359356685464809,0.8566916903960653
2,0.05,500,10,4,0.75,0.8,0.5,5,2,1,0.5,0.8557672395941188,0.8583992542242426,0.8557672395941188,0.9373104413054839,0.8569764431788764
6,0.15,500,6,4,0.75,0.8,0.5,5,2,1,0.5,0.8555601573824808,0.858135646941862,0.8555601573824808,0.9343269497075793,0.8554232461817242
1,0.05,500,8,4,0.75,0.8,0.5,5,2,1,0.5,0.8554566162766618,0.8580521062832319,0.8554566162766618,0.9367671779478116,0.8567434636293036
0,0.05,500,6,4,0.75,0.8,0.5,5,2,1,0.5,0.8549389107475668,0.8577176026768881,0.8549389107475668,0.9343510800945826,0.8552938130986281
